EMPRESA,LISTA,AV
AMBEV S/A,AÇÃO ,ABEV3.SAO
B3,AÇÃO ,B3SA3.SAO
BRASIL,AÇÃO ,BBAS3.SAO
BRADESCO,AÇÃO ,BBDC3.SAO
BRADESCO,AÇÃO ,BBDC4.SAO
BBSEGURIDADE,AÇÃO ,BBSE3.SAO
ETF IBRX IND (SHORT),ETF ,BOVA11.SAO
BRADESPAR,AÇÃO ,BRAP4.SAO
BRF SA,AÇÃO ,BRFS3.SAO
BRASKEM,AÇÃO ,BRKM5.SAO
BR MALLS PAR,AÇÃO ,BRML3.SAO
B2W DIGITAL,AÇÃO ,BTOW3.SAO
CCR SA,AÇÃO ,CCRO3.SAO
CIELO,AÇÃO ,CIEL3.SAO
CEMIG,AÇÃO ,CMIG4.SAO
CPFL ENERGIA,AÇÃO ,CPFE3.SAO
COPEL,AÇÃO ,CPLE6.SAO
COSAN,AÇÃO ,CSAN3.SAO
SID NACIONAL,AÇÃO ,CSNA3.SAO
CVC BRASIL,AÇÃO ,CVCB3.SAO
CYRELA REALT,AÇÃO ,CYRE3.SAO
ECORODOVIAS,AÇÃO ,ECOR3.SAO
ENGIE BRASIL,AÇÃO ,EGIE3.SAO
ELETROBRAS,AÇÃO ,ELET3.SAO
ELETROBRAS,AÇÃO ,ELET6.SAO
EMBRAER,AÇÃO ,EMBR3.SAO
ENERGIAS BR,AÇÃO ,ENBR3.SAO
EQUATORIAL,AÇÃO ,EQTL3.SAO
ESTACIO PART,AÇÃO ,ESTC3.SAO
FIBRIA,AÇÃO ,FIBR3.SAO
FLEURY,AÇÃO ,FLRY3.SAO
GERDAU,AÇÃO ,GGBR4.SAO
GERDAU MET,AÇÃO ,GOAU4.SAO
GOL,AÇÃO ,GOLL4.SAO
HYPERA,AÇÃO ,HYPE3.SAO
IGUATEMI,AÇÃO ,IGTA3.SAO
IRB,AÇÃO ,IRBR3.SAO
ITAUSA,AÇÃO ,ITSA4.SAO
ITAUUNIBANCO,AÇÃO ,ITUB4.SAO
S&P 500 ETF,ETF ,IVVB11.SAO
JBS,AÇÃO ,JBSS3.SAO
KLABIN S/A,AÇÃO ,KLBN11.SAO
COGNA EDUCAÇÃO,AÇÃO ,COGN3.SAO
LOJAS AMERIC,AÇÃO ,LAME4.SAO
LOJAS RENNER,AÇÃO ,LREN3.SAO
MAGAZ LUIZA,AÇÃO ,MGLU3.SAO
MARFRIG,AÇÃO ,MRFG3.SAO
MRV,AÇÃO ,MRVE3.SAO
MULTIPLAN,AÇÃO ,MULT3.SAO
NATURA,AÇÃO ,NTCO3.SAO
P.ACUCAR-CBD,AÇÃO ,PCAR4.SAO
PETROBRAS,AÇÃO ,PETR3.SAO
PETROBRAS,AÇÃO ,PETR4.SAO
QUALICORP,AÇÃO ,QUAL3.SAO
RAIADROGASIL,AÇÃO ,RADL3.SAO
RUMO S.A.,AÇÃO ,RAIL3.SAO
LOCALIZA,AÇÃO ,RENT3.SAO
SANTANDER BR,AÇÃO ,SANB11.SAO
SANEPAR,AÇÃO ,SAPR11.SAO
SABESP,AÇÃO ,SBSP3.SAO
SMILES,AÇÃO ,SMLS3.SAO
SUZANO PAPEL,AÇÃO ,SUZB3.SAO
TAESA,AÇÃO ,TAEE11.SAO
TIM PART S/A,AÇÃO ,TIMP3.SAO
ULTRAPAR,AÇÃO ,UGPA3.SAO
USIMINAS,AÇÃO ,USIM5.SAO
VALE,AÇÃO ,VALE3.SAO
TELEF BRASIL,AÇÃO ,VIVT3.SAO
VIAVAREJO,AÇÃO ,VVAR3.SAO
WEG,AÇÃO ,WEGE3.SAO
PARANAPANEMA,AÇÃO ,PMAM3.SAO
OI PN,AÇÃO ,OIBR4.SAO
BANCO INTER,AÇÃO ,BIDI4.SAO
HAPVIDA,AÇÃO ,HAPV3.SAO
SLC AGRÍCOLA,AÇÃO ,SLCE3.SAO
LOG IN,AÇÃO ,LOGN3.SAO
EZTEC,AÇÃO ,EZTC3.SAO
BTG Pactual Corporate Office FII,FII ,BRCR11.SAO
Maxi Renda FII,FII ,MXRF11.SAO
CGHG Logística FII,FII ,HGLG11.SAO
Grand Plaza Shopping FII,FII ,ABCP11.SAO
AESAPAR FII,FII ,AEFI11.SAO
BB Progressivo II FII,FII ,BBPO11.SAO
VIVER ,AÇÃO ,VIVR3.SAO
XP Corporate Macaé FII,FII ,XPCM11.SAO
Mérito Desenvolvimento Imobiliário FII,FII ,MFII11.SAO
Banestes Recebíveis Imobiliários FII,FII ,BCRI11.SAO
MetaTrader 5 OFF,OFF ,
RBR Alpha Fundo de Fundos  FII,FII ,RBRF11.SAO
Mogno Fundo de Fundos  FII,FII ,MGFF11.SAO
BTG Fundo de Fundos  FII,FII ,BCFF11.SAO
GAFISA,AÇÃO ,GFSA3.SAO
OI ON,AÇÃO ,OIBR3.SAO
UNIPAR ,AÇÃO ,UNIP6.SAO
Operações Estruturadas OFF,OFF ,
Rio Bravo Renda Educacional  FII,FII ,RBED11.SAO
"Caixa, ajustes e despesas OFF",OFF ,
Alaska Black OFF,OFF ,
Órama Ouro OFF,OFF ,
BLP Criptoativos OFF,OFF ,
COSAN LOGÍSTICA,AÇÃO ,RLOG3.SAO
Exploritas Alpha America Latina OFF,OFF ,
GTI Dimona Brasil FIA OFF,OFF ,
DURATEX,AÇÃO ,DTEX3.SAO
INTERMEDICA,AÇÃO ,GNDI3.SAO
PORTO SEGURO,AÇÃO ,PSSA3.SAO
IOCHP-MAXIONON,AÇÃO ,MYPK3.SAO
ENEVA,AÇÃO ,ENEV3.SAO
BANCO PAN,AÇÃO ,BPAN4.SAO
TECNISA,AÇÃO ,TCSA3.SAO
Berkshire Hathaway Inc. Hld B,STOCKS ,BRK.B
XP Inc,STOCKS ,XP
Alibaba Group,STOCKS ,BABA
"Nike, Inc.",STOCKS ,NKE
"Apple, Inc.",STOCKS ,AAPL
Chatham Lodging Trust,STOCKS ,CLDT
Dimed SA Distribuidora de Medicamentos,AÇÃO ,PNVL3.SAO
EPR Properties,STOCKS ,EPR
Simon Property Group Inc.,STOCKS ,SPG
Banrisul,AÇÃO ,BRSR6.SAO
Newmont Mining Corp,STOCKS ,NEM
LTC Properties Inc.,STOCKS ,LTC
Welltower Inc.,STOCKS ,WELL
Even,AÇÃO ,EVEN3.SAO
JHSF Participações,AÇÃO ,JHSF3.SAO
Amazon.com Inc.,STOCKS ,AMZN
"Netflix, Inc.",STOCKS ,NFLX
"Facebook, Inc",STOCKS ,FB
Uranium Energy Corp.,STOCKS ,UEC
Cameco Corporation,STOCKS ,CCJ
Alphabet Inc. - Class A Shares,STOCKS ,GOOGL
Itaú Unibanco Holding S.A.,STOCKS ,ITUB
BR Properties,AÇÃO ,BRPR3.SAO
Hecla Mining Co.,STOCKS ,HL
Microsoft Corporation,STOCKS ,MSFT
Tegma Gestão Logística,AÇÃO ,TGMA3.SAO
KLABIN S/A,AÇÃO ,KLBN4.SAO
"Tesla, Inc.",STOCKS ,TSLA
"Square, Inc.",STOCKS ,SQ
"Overstock.com, Inc.",STOCKS ,OSTK
General Motors Co.,STOCKS ,GM
Walt DIsney Comprany,STOCKS ,DIS
Transmissão Paulista,AÇÃO ,TRPL4.SAO
Sony Corporation,STOCKS ,SNE
FII C TEXTILCI ER,FII ,CTXT11.SAO
FII GGRCOVEPCI ERS,FII ,GGRC11.SAO
FII HG REAL CI ER,FII ,HGRE11.SAO
FII JS REAL CI ER,FII ,JSRE11.SAO
FII KINEA CI ER,FII ,KNRI11.SAO
BTG Pactual,AÇÃO ,BPAC11.SAO
Altria Group Inc,STOCKS ,MO
AMC Networks Inc,STOCKS ,AMCX
Biogen Inc,STOCKS ,BIIB
H&R Block Inc,STOCKS ,HRB
The Buckle Inc,STOCKS ,BKE
Deluxe Corp,STOCKS ,DLX
HP Inc,STOCKS ,HPQ
ARK Fintech Innovation ETF,ETF US ,ARKF
ARK Genomic Revolution Multi-Sector ETF,ETF US ,ARKG
ARK Innovation ETF,ETF US ,ARKK
ARK Industrial Innovation ETF,ETF US ,ARKQ
ARK Web x.0 ETF,ETF US ,ARKW
ARK Space Exploration & Innovation ETF,ETF US ,ARKX
Renaissance IPO ETF,ETF US ,IPO
Invesco WilderHill Clean Energy ETF,ETF US ,PBW
Invesco Solar ETF,ETF US ,TAN
ATOM,AÇÃO ,ATOM3.SAO
Eternite,AÇÃO ,ETER3.SAO
Wiz,AÇÃO ,WIZS3.SAO
GPCP,AÇÃO ,GPCP3.SAO
Minerva,AÇÃO ,BEEF3.SAO
ComGás,AÇÃO ,CGAS5.SAO
Sul América,AÇÃO ,SULA11.SAO
Cambuci,AÇÃO ,CAMB3.SAO
ENGIE BRASIL,AÇÃO ,EGIE3.SAO
Grazziotin,AÇÃO ,CGRA4.SAO
São Martinho,AÇÃO ,SMTO3.SAO
Energisa,AÇÃO ,ENGI4.SAO
CESP,AÇÃO ,CESP3.SAO
Portobello,AÇÃO ,PTBL3.SAO
Hering,AÇÃO ,HGTX3.SAO
Metisa,AÇÃO ,MTSA4.SAO
Whirlpool,AÇÃO ,WHRL3.SAO
Cristal,AÇÃO ,CRPG5.SAO
Cigna Corp.,STOCKS ,CI
Coherus BioSciences Inc,STOCKS ,CHRS
Gilead Sciences Inc.,STOCKS ,GILD
"Innoviva, Inc.",STOCKS ,INVA
"Michaels Companies, Inc., The",STOCKS ,MIK
Madison Square Garden Entertainment Corp,STOCKS ,MSGE
Omnicom Group Inc.,STOCKS ,OMC
Perdoceo Education Corp,STOCKS ,PRDO
Royalty Pharma plc,STOCKS ,RPRX
SIGA Technologies Inc,STOCKS ,SIGA
